Region,ParkCode,ParkName,State,GrossAcres
Intermountain,FOUN,FT UNION NM,NM,720.60
Midwest,FOUS,FT UNION TRADING POST NHS,ND,440.14
Midwest,FOUS,FT UNION TRADING POST NHS,MT,440.14
Pacific West,FOVA,FT VANCOUVER NHS,WA,206.72
National Capital,FOWA,FT WASHINGTON PARK,MD,341.00
Northeast,GEWA,G W BIRTHPLACE NM,VA,653.18
National Capital,GWMP,G W MEMORIAL PKWY,MD,"7,035.22"
National Capital,GWMP,G W MEMORIAL PKWY,VA,"7,035.22"
Alaska,GAAR,GATES OF THE ARCTIC NP & PRES,AK,"8,472,505.52"
Northeast,GATE,GATEWAY NRA,NJ,"2,606.63"
Northeast,GATE,GATEWAY NRA,NY,"2,606.63"
Northeast,GARI,GAULEY RIVER NRA,WV,"11,566.46"
Northeast,GEGR,GENERAL GRANT NMEM,NY,0.76
Midwest,GERO,GEORGE R CLARK NHP,IN,26.17
Midwest,GWCA,GEORGE WASH. CARVER NM,MO,210.00
Northeast,GETT,GETTYSBURG NMP,PA,"6,032.54"
Intermountain,GICL,GILA CLIFF DWELNGS NM,NM,533.13
Alaska,GLBA,GLACIER BAY NP & PRES,AK,"3,281,789.43"
Intermountain,GLAC,GLACIER NP,MT,"1,013,128.94"
Intermountain,GLCA,GLEN CANYON NRA,AZ,"1,254,116.62"
Intermountain,GLCA,GLEN CANYON NRA,UT,"1,254,116.62"
Pacific West,GOGA,GOLDEN GATE NRA,CA,"82,026.86"
Intermountain,GOSP,GOLDEN SPIKE NHS,UT,"2,735.28"
Northeast,GOIS,GOVERNORS ISLAND NM,NY,22.91
Intermountain,GRCA,GRAND CANYON NP,AZ,"1,201,647.03"
Midwest,GRPO,GRAND PORTAGE NM,MN,709.97
Intermountain,GRTE,GRAND TETON NP,WY,"310,043.96"
Intermountain,GRKO,GRANT-KOHRS RANCH NHS,MT,"1,618.38"
Pacific West,GRBA,GREAT BASIN NP,NV,"77,180.00"
Northeast,,GREAT EGG HARBOR N. RIVER,NJ,"43,311.42"
Intermountain,GRSA,GREAT SAND DUNES NP & PRES,CO,"149,027.87"
Southeast,GRSM,GREAT SMOKY MTS NP,TN,"522,426.88"
Southeast,GRSM,GREAT SMOKY MTS NP,NC,"522,426.88"
National Capital,GREE,GREENBELT PARK,MD,"1,175.42"
Intermountain,GUMO,GUADALUPE MTS NP,TX,"86,367.10"
Southeast,GUCO,GUILFORD COURTHS NMP,NC,251.49
Southeast,GUIS,GULF ISLANDS NS,FL,"138,305.52"
Southeast,GUIS,GULF ISLANDS NS,MS,"138,305.52"
Pacific West,HAFO,HAGERMAN FOSSIL BEDS NM,ID,"4,351.15"
Pacific West,HALE,HALEAKALA NP,HI,"33,264.62"
Northeast,HAGR,HAMILTON GRANGE NMEM,NY,1.75
Northeast,HAMP,HAMPTON NHS,MD,62.04
National Capital,HAFE,HARPERS FERRY NHP,MD,"3,656.22"
National Capital,HAFE,HARPERS FERRY NHP,VA,"3,656.22"
National Capital,HAFE,HARPERS FERRY NHP,WV,"3,656.22"
Northeast,,HARRIET TUBMAN UNDRGR RR NHP,MD,480.00
Midwest,HSTR,HARRY S TRUMAN NHS,MO,12.59
Pacific West,HAVO,HAWAII VOLCANOES NP,HI,"323,431.38"
Midwest,HEHO,HERBERT HOOVER NHS,IA,186.80
Intermountain,,HOHOKAM PIMA NM,AZ,"1,690.00"
Northeast,HOFR,HOME OF F D R NHS,NY,833.43
Midwest,HOME,HOMESTEAD NM OF AMERICA NM,NE,211.09
Pacific West,HONO,HONOULIULI NM,HI,154.46
Midwest,HOCU,HOPEWELL CULTURE NHP,OH,"1,766.16"
Northeast,HOFU,HOPEWELL FURNACE NHS,PA,848.06
Southeast,HOBE,HORSESHOE BEND NMP,AL,"2,040.00"
